listing_id,source,name,category,phone,address,city,state,proof,status,notes
1,Community Referral,Pet Pet Boarding 1,Pet Boarding,9852148024,NA,Noida,Uttar Pradesh,Justdial page,Ready,
2,Google Maps,Care Pet Shop 2,Pet Shop,+91 6549496895,NA,Delhi,Delhi,WhatsApp message,Submitted,
3,WhatsApp Submission,Tails Pet Trainer 3,Pet Trainer,NA,Near main road,Jaipur,Rajasthan,Instagram page,Submitted,Address incomplete
4,Justdial,Pet Pet Trainer 4,Pet Trainer,9813727672,Residential area,Bangalore,Karnataka,Instagram page,Submitted,Possible duplicate
5,Justdial,Paws Feeder 5,Feeder,9415172416,Opposite park,Jaipur,Rajasthan,Maps listing,Submitted,Phone missing
6,WhatsApp Submission,Happy Pet Groomer 6,Pet Groomer,+91 7698891595,Near main road,Bhopal,Madhya Pradesh,WhatsApp message,Needs Review,
7,Google Maps,Tails Vet Clinic 7,Vet Clinic,NA,Opposite park,Indore,Madhya Pradesh,WhatsApp message,Verified,Phone missing
8,Community Referral,Tails Vet Clinic 8,Vet Clinic,+91 7904294740,Near main road,Gurgaon,Haryana,Justdial page,Needs Fix,Possible duplicate
9,Instagram,Care Pet Groomer 9,Pet Groomer,+91 8335800260,Near main road,Indore,Madhya Pradesh,Maps listing,Verified,
10,Justdial,Care Pet Boarding 10,Pet Boarding,NA,Near main road,Delhi,Delhi,WhatsApp message,Needs Fix,Possible duplicate
11,Facebook Group,Pet Vet Clinic 11,Vet Clinic,9263343571,Sector area,Pune,Maharashtra,WhatsApp message,Ready,Address incomplete
12,Justdial,Pet Pet Groomer 12,Pet Groomer,9773198691,Residential area,Chennai,Tamil Nadu,Instagram page,Verified,Phone missing
13,Instagram,Trust Vet Hospital 13,Vet Hospital,+91 7884669714,Residential area,Bangalore,Karnataka,Maps listing,Verified,Phone missing
14,Instagram,Trust Pet Trainer 14,Pet Trainer,+91 8291800170,Sector area,Mumbai,Maharashtra,Justdial page,Submitted,Phone missing
15,Facebook Group,Paws NGO 15,NGO,+91 6537802351,Near main road,Bangalore,Karnataka,Maps listing,Needs Fix,Possible duplicate
16,Community Referral,Paws Pet Trainer 16,Pet Trainer,NA,NA,Mumbai,Maharashtra,WhatsApp message,Ready,
17,Instagram,Care Feeder 17,Feeder,9553830254,Residential area,Gurgaon,Haryana,Maps listing,Verified,Phone missing
18,WhatsApp Submission,Happy Vet Hospital 18,Vet Hospital,9603316115,NA,Bhopal,Madhya Pradesh,WhatsApp message,Needs Fix,Address incomplete
19,Justdial,Tails NGO 19,NGO,9723213585,Opposite park,Gurgaon,Haryana,Maps listing,Needs Review,Address incomplete
20,Community Referral,Tails Pet Boarding 20,Pet Boarding,NA,Residential area,Mumbai,Maharashtra,WhatsApp message,Verified,
21,Justdial,Animal Vet Hospital 21,Vet Hospital,9901632110,Residential area,Mumbai,Maharashtra,Justdial page,Needs Fix,Phone missing
22,Facebook Group,Animal Vet Hospital 22,Vet Hospital,NA,Sector area,Indore,Madhya Pradesh,Justdial page,Ready,Phone missing
23,Google Maps,Tails Pet Shop 23,Pet Shop,9846551231,Near main road,Chennai,Tamil Nadu,Justdial page,Needs Review,Phone missing
24,Instagram,Care Feeder 24,Feeder,9900746376,Residential area,Pune,Maharashtra,Justdial page,Needs Fix,
25,Community Referral,Tails Pet Shop 25,Pet Shop,NA,Opposite park,Noida,Uttar Pradesh,Maps listing,Ready,
26,WhatsApp Submission,Happy Pet Groomer 26,Pet Groomer,9756208600,Opposite park,Mumbai,Maharashtra,Referral,Ready,
27,Google Maps,Care Feeder 27,Feeder,9492603489,Sector area,Jaipur,Rajasthan,WhatsApp message,Verified,Possible duplicate
28,Justdial,Paws Feeder 28,Feeder,+91 6468537202,Near main road,Mumbai,Maharashtra,Referral,Needs Review,Phone missing
29,WhatsApp Submission,Happy Vet Hospital 29,Vet Hospital,NA,Residential area,Pune,Maharashtra,Justdial page,Verified,Phone missing
30,Community Referral,Pet Feeder 30,Feeder,9260987722,Near main road,Pune,Maharashtra,Justdial page,Ready,Phone missing
31,Facebook Group,Care NGO 31,NGO,+91 9656918162,Opposite park,Gurgaon,Haryana,Maps listing,Verified,
32,Community Referral,Care Pet Shop 32,Pet Shop,9396038766,Opposite park,Chennai,Tamil Nadu,Maps listing,Submitted,Phone missing
33,Facebook Group,Paws NGO 33,NGO,9569027728,NA,Jaipur,Rajasthan,Justdial page,Verified,Possible duplicate
34,WhatsApp Submission,Happy NGO 34,NGO,9848841781,Near main road,Mumbai,Maharashtra,Justdial page,Ready,Phone missing
35,Facebook Group,Tails NGO 35,NGO,NA,Near main road,Mumbai,Maharashtra,Justdial page,Submitted,Phone missing
36,Justdial,Tails Vet Clinic 36,Vet Clinic,NA,Opposite park,Gurgaon,Haryana,Maps listing,Needs Fix,Address incomplete
37,Justdial,Animal NGO 37,NGO,NA,Near main road,Chennai,Tamil Nadu,WhatsApp message,Ready,
38,WhatsApp Submission,Care NGO 38,NGO,+91 8689813582,Sector area,Gurgaon,Haryana,Maps listing,Ready,
39,Justdial,Pet Pet Boarding 39,Pet Boarding,NA,Sector area,Delhi,Delhi,Justdial page,Submitted,Address incomplete
40,Community Referral,Trust Pet Trainer 40,Pet Trainer,NA,Opposite park,Mumbai,Maharashtra,Justdial page,Verified,
41,Facebook Group,Tails Pet Trainer 41,Pet Trainer,NA,NA,Delhi,Delhi,Justdial page,Needs Fix,
